label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
1,0.0,0.0,-0.13290543335031263,-0.06409727553481444,-0.2278265585193545,-0.19193681295148646,-0.27898512019203386,-0.311242209634396,-0.2594239396702822,-0.3488072823902196,-0.07015618717130628,-0.5424495601212213,-0.10494286101000218,-0.724399169888743,-0.12531955040812667,-0.8718338823128844,-0.12745824306631337,-1.0,0.013585775128539968,-0.5218810126625423,-0.19453420692882964,-0.512104055057792,-0.20518111840422887,-0.34392140474902066,-0.15433550332962084,-0.3011685402651229,0.062389119898909905,-0.4442903480685526,-0.14997434268432838,-0.39775575401518376,-0.15226740080404583,-0.25145173944581095,-0.099480781320649,-0.21013704800676158,0.08728151479428357,-0.33716879033537667,-0.0908686057515979,-0.3130167397279024,-0.10288785398552158,-0.20130368404251303,-0.05929499383210868,-0.1506323467667163
1,0.0,0.0,-0.132717234723291,-0.06185726890234414,-0.22702559788358279,-0.1849612880106335,-0.27885508381292035,-0.2982006384658545,-0.262906465180625,-0.3366558209325999,-0.07396003021005698,-0.5348277626997169,-0.10424102585701049,-0.7158223745732972,-0.12516034815805743,-0.8690407949984937,-0.1284756377876987,-1.0,0.011432279360220664,-0.515145539376582,-0.19824029273488106,-0.501709844966442,-0.2139634245583778,-0.3321855248711861,-0.167840441358082,-0.28579931013707316,0.061839958082832096,-0.4368833243626406,-0.1523205778173091,-0.3850035121332783,-0.1584611894995781,-0.2404772646478087,-0.10836216090424583,-0.1968291932515644,0.08729774895100002,-0.33005558022297765,-0.09053406912049615,-0.3065883551366377,-0.10491802166957678,-0.1967406760713791,-0.0622022360581872,-0.1451380154162663
1,0.0,0.0,-0.13926988345632,-0.06823028221100932,-0.23459690441869896,-0.1831864567434218,-0.27925474268622935,-0.28802418752073106,-0.23821402732246333,-0.34246931618962784,-0.053214612483946586,-0.5380213093058444,-0.08176197153821685,-0.7148791380911298,-0.09826570102481674,-0.8689514767418027,-0.09418824504405392,-1.0,0.03593063746884616,-0.5133770815952617,-0.17862709240556487,-0.4975729169678972,-0.1943324458761889,-0.3230531958474294,-0.14195582452335176,-0.2772521396921425,0.08770460141800356,-0.43218839607101456,-0.13334502145425908,-0.3935918517237969,-0.14230701206574875,-0.24498241025431364,-0.08726393991991582,-0.19948340802036563,0.11456709427119202,-0.32191061252673453,-0.07022744605885356,-0.3110930571745829,-0.08915930108058612,-0.20230886318851998,-0.04639990615659683,-0.1453532059189152
1,0.0,0.0,-0.11911040291922215,-0.07596444439845795,-0.21661799284507757,-0.22164704624487286,-0.2705112518872423,-0.35016283527381936,-0.2467389401781919,-0.41834239985652216,-0.05986276482827065,-0.5536570034688182,-0.10105254444665754,-0.7260471769614602,-0.1276747536776974,-0.8755252159712217,-0.13827469625207262,-1.0,0.015540270797172866,-0.5394851180544957,-0.18361162342931,-0.5421077273679663,-0.20586094893689302,-0.3691307088270773,-0.16682523381972664,-0.3026849497439559,0.05941103382507258,-0.46861396442887804,-0.1476336072690839,-0.45325631746540884,-0.1613062518915535,-0.2965867967624364,-0.11591112306759754,-0.22976802979234515,0.07640591466690119,-0.36509591200255914,-0.09719675002004724,-0.38054461220889474,-0.11798749914853146,-0.2668275618855954,-0.07969702378334846,-0.19617110766787296
1,0.0,0.0,-0.12008014906106043,-0.081752603083217,-0.22581876154681693,-0.22459174521101738,-0.28559030850746514,-0.35490801276805,-0.2555013758916307,-0.4283795042443917,-0.06063982553462792,-0.5620884461204623,-0.10219557324261433,-0.7308401263345763,-0.12884416340496288,-0.876718112033435,-0.13550298118615844,-1.0,0.01615038455215963,-0.5466855049264666,-0.18560587075135845,-0.5508236948482313,-0.20667816543576562,-0.38781374657867224,-0.16469322926725316,-0.336991278483901,0.060973327225269436,-0.47562107898925327,-0.14992881324921778,-0.4619350668878562,-0.1641758898080972,-0.3135066607455366,-0.11632032495647654,-0.25665434889359107,0.07821131634501775,-0.372929021096304,-0.09996612407945296,-0.38702844911374074,-0.12430833011164508,-0.27719125331793,-0.08647972229105672,-0.20913552786675635
1,0.0,0.0,-0.11686082300707434,-0.07175780722001582,-0.21619419709157217,-0.22073453687019004,-0.27038366073450243,-0.3485696771732926,-0.2513829711214864,-0.41474222162147734,-0.06388881475238072,-0.5516843862487204,-0.10420345391947283,-0.7261948772342471,-0.1341274070808879,-0.8758171397675978,-0.14821996330673315,-1.0,0.011198936566794746,-0.5373011766468277,-0.18622254784889813,-0.537499020680642,-0.21903280267855682,-0.36708281641055135,-0.18993604076034784,-0.29712471836497145,0.054571376669039995,-0.4663283746053666,-0.15161568322914523,-0.4535385929311653,-0.16732689292746322,-0.2976567793436365,-0.1235055586597229,-0.22822729851634194,0.07183012618798972,-0.36363716196263346,-0.10377857998262623,-0.38037091021169656,-0.12546944911026145,-0.26691846294642974,-0.08697423464577911,-0.19449463246897816
1,0.0,0.0,-0.1160399002084218,-0.07158706574096488,-0.21708171219481984,-0.2196356414117753,-0.27279066909084365,-0.34871773727252486,-0.24707011398774173,-0.4135298497247293,-0.059493028103441994,-0.5564618313985663,-0.10137149213637717,-0.7258646656869442,-0.12744347894148386,-0.8754632796675664,-0.13647299370104754,-1.0,0.015959699003944894,-0.5405629319135364,-0.18311784300778017,-0.5394744807559477,-0.2178851219296789,-0.37116935732200484,-0.1908659380217042,-0.3050738159446564,0.06071810346732843,-0.4702475894432118,-0.14714156215803,-0.4547120893815824,-0.16386492408489953,-0.29813673060545576,-0.12114120697003589,-0.230275033088129,0.08000849795574722,-0.368955241508181,-0.09562244337367795,-0.3826150414690282,-0.11766838387453495,-0.26818772620194575,-0.07941046130848776,-0.19532509354259317
1,0.0,0.0,-0.11895575543891347,-0.07857793671502844,-0.2197107681654036,-0.22735425067241363,-0.2786726331666645,-0.35472733122069305,-0.2612825280811333,-0.416836097313222,-0.05958808631812749,-0.5670868593761222,-0.10140682290934112,-0.7305833008472385,-0.12855175665800234,-0.8769906152392815,-0.1348383233680877,-1.0,0.017285367209932997,-0.5520127231371174,-0.1845534310522124,-0.5539723008467091,-0.20990193817129962,-0.38918918060392194,-0.1733501843368963,-0.3313151071194049,0.06305167168531978,-0.4810182674502389,-0.14964404122666317,-0.46352571866330117,-0.16505453869715966,-0.30768705416915865,-0.12028946478151432,-0.2427825721116303,0.0819284898845448,-0.37808749521532325,-0.09759231712828687,-0.392557028317345,-0.12225980746231334,-0.2762983393531876,-0.08647863144391618,-0.20274482059293109
1,0.0,0.0,-0.11656305403279231,-0.077661406561734,-0.21647967930076847,-0.22266433311892617,-0.27671330875392697,-0.3498598305509827,-0.2539914854724931,-0.41762334163581555,-0.05867268231410326,-0.5581880136510269,-0.09989904230591887,-0.7282292531326321,-0.12783312036954664,-0.8750883631320802,-0.13545590302462812,-1.0,0.017680761816384713,-0.54525167735772,-0.18235228715408913,-0.5467055521308144,-0.20413092885889814,-0.3777408098187459,-0.16278796146199617,-0.32282615760404937,0.0624440089818319,-0.47509303442647743,-0.14636801174576855,-0.4590153838671162,-0.16091559469645378,-0.306092426370909,-0.11319053693729819,-0.2475787780121298,0.08008453118355817,-0.37344951734769155,-0.09595424790804304,-0.3878171592389149,-0.11980977859376718,-0.27562456474514635,-0.08175106357238027,-0.20754018647212388
1,0.0,0.0,-0.11597718934369687,-0.076211977639813,-0.2102794800879134,-0.22249845985538944,-0.2654005261693653,-0.3492004811737806,-0.2504704297797176,-0.41390615160157496,-0.055864611383369484,-0.5559634938446845,-0.09957040255815902,-0.7268178391662005,-0.13009508890051003,-0.875329968334507,-0.143333529301171,-1.0,0.016737878298153683,-0.5420039089165452,-0.17987708109927858,-0.5457517724178435,-0.19900011903548567,-0.3747603351854433,-0.15873103893504403,-0.3076784049689913,0.058244037464600634,-0.47261212548000353,-0.146919740730272,-0.45845366314805985,-0.15950318644559783,-0.3006196263415346,-0.11478135765662173,-0.2295147930472665,0.07358412595477627,-0.37083122282818215,-0.09758411020888888,-0.3864252993280357,-0.11871637472165507,-0.27241908432359135,-0.08270048130214382,-0.19915757790940997
